aro,norm_feature,present_feature,public_present_n,median_norm_when_present,mean_norm_when_present
MexD,MexD__norm,MexD__present,2658,10.676136016845703,10.67937734164718
MexE,MexE__norm,MexE__present,2647,10.629610061645508,10.634359975107941
MexF,MexF__norm,MexF__present,2376,10.534679412841797,10.535529265901456
MexG,MexG__norm,MexG__present,2550,12.256461143493652,12.256157505184996
MexH,MexH__norm,MexH__present,2472,10.683362007141112,10.685441839270608
MexI,MexI__norm,MexI__present,2591,10.168021202087402,10.166234812189925
MexJ,MexJ__norm,MexJ__present,2661,11.376636505126951,11.374794805197732
MexK,MexK__norm,MexK__present,2668,9.071359634399414,9.07041138830571
MexR,MexR__norm,MexR__present,2595,12.238089561462402,12.243796464703216
MexS,MexS__norm,MexS__present,2594,12.097352027893066,12.104223145828305
MexT,MexT__norm,MexT__present,2628,11.622698783874512,11.624887849279371
MexV,MexV__norm,MexV__present,2682,11.041173934936523,11.04599481123228
MexW,MexW__norm,MexW__present,2674,9.935256004333496,9.93279745049145
MexZ,MexZ__norm,MexZ__present,2182,12.02043628692627,12.05914233563473
Mrx,Mrx__norm,Mrx__present,27,11.916814804077148,11.916814804077148
MuxA,MuxA__norm,MuxA__present,2569,10.63004207611084,10.636742210610919
MuxB,MuxB__norm,MuxB__present,2638,9.227633476257324,9.229969982309175
MuxC,MuxC__norm,MuxC__present,2647,9.726048469543455,9.726609299216218
NDM-1,NDM-1__norm,NDM-1__present,96,11.694007873535156,11.694007873535156
OXA-101,OXA-101__norm,OXA-101__present,7,12.195385932922363,12.216199602399554
OXA-1026,OXA-1026__norm,OXA-1026__present,17,11.683859825134276,11.683859825134276
OXA-1028,OXA-1028__norm,OXA-1028__present,29,11.62855625152588,11.62855625152588
OXA-1030,OXA-1030__norm,OXA-1030__present,6,11.64596462249756,11.64596462249756
OXA-1032,OXA-1032__norm,OXA-1032__present,33,11.637567520141602,11.637567520141602
OXA-1033,OXA-1033__norm,OXA-1033__present,9,11.631549835205078,11.631549835205078
OXA-1034,OXA-1034__norm,OXA-1034__present,8,11.634417533874512,11.634253978729248
